,text,label
0,negative,0
1,negative,0
2,negative,0
3,negative,0
4,negative,0
5,negative,0
6,negative,0
7,negative,0
8,negative,0
9,negative,0
10,negative,0
11,negative,0
12,negative,0
13,negative,0
14,negative,0
15,negative,0
16,negative,0
17,negative,0
18,negative,0
19,negative,0
20,negative,0
21,negative,0
22,negative,0
23,negative,0
24,negative,0
25,negative,0
26,negative,0
27,negative,0
28,negative,0
29,negative,0
30,negative,0
31,negative,0
32,negative,0
33,negative,0
34,negative,0
35,negative,0
36,negative,0
37,negative,0
38,negative,0
39,negative,0
40,negative,0
41,negative,0
42,negative,0
43,negative,0
44,negative,0
45,negative,0
46,negative,0
47,negative,0
48,negative,0
49,negative,0
50,negative,0
51,negative,0
52,negative,0
53,negative,0
54,negative,0
55,negative,0
56,negative,0
57,negative,0
58,negative,0
59,negative,0
60,negative,0
61,negative,0
62,negative,0
63,negative,0
64,negative,0
65,negative,0
66,negative,0
67,negative,0
68,negative,0
69,negative,0
70,negative,0
71,negative,0
72,negative,0
73,negative,0
74,negative,0
75,negative,0
76,negative,0
77,negative,0
78,negative,0
79,negative,0
80,negative,0
81,negative,0
82,negative,0
83,negative,0
84,negative,0
85,negative,0
86,negative,0
87,negative,0
88,negative,0
89,negative,0
90,negative,0
91,negative,0
92,negative,0
93,negative,0
94,negative,0
95,negative,0
96,negative,0
97,negative,0
98,negative,0
99,negative,0
100,negative,0
101,negative,0
102,negative,0
103,negative,0
104,negative,0
105,negative,0
106,negative,0
107,negative,0
108,negative,0
109,negative,0
110,negative,0
111,negative,0
112,negative,0
113,negative,0
114,negative,0
115,negative,0
116,negative,0
117,negative,0
118,negative,0
119,negative,0
120,negative,0
121,negative,0
122,negative,0
123,negative,0
124,negative,0
125,negative,0
126,negative,0
127,negative,0
128,negative,0
129,negative,0
130,negative,0
131,negative,0
132,negative,0
133,negative,0
134,negative,0
135,negative,0
136,negative,0
137,negative,0
138,negative,0
139,negative,0
140,negative,0
141,negative,0
142,negative,0
143,negative,0
144,negative,0
145,negative,0
146,negative,0
147,negative,0
148,negative,0
149,negative,0
150,negative,0
151,negative,0
152,negative,0
153,negative,0
154,negative,0
155,negative,0
156,negative,0
157,negative,0
158,negative,0
159,negative,0
160,negative,0
161,negative,0
162,negative,0
163,negative,0
164,negative,0
165,negative,0
166,negative,0
167,negative,0
168,negative,0
169,negative,0
170,negative,0
171,negative,0
172,negative,0
173,negative,0
174,negative,0
175,negative,0
176,negative,0
177,negative,0
178,negative,0
179,negative,0
180,negative,0
181,negative,0
182,negative,0
183,negative,0
184,negative,0
185,negative,0
186,negative,0
187,negative,0
188,negative,0
189,negative,0
190,negative,0
191,negative,0
192,negative,0
193,negative,0
194,negative,0
195,negative,0
196,negative,0
197,negative,0
198,negative,0
199,negative,0
200,negative,0
